Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,City,Visa_Sponsorship,Job_ID,Scope_Category
Truck Driver Local Distribution,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Brandenburg,Elis Deutschland,Recruitment Agency,2026-06-16,Full-time,,"Delivers pre-picked rental laundry to customers within a radius of approximately 200 km, performing loading and unloading of laundry packages up to 20 kg and providing on-site customer service including sorting textiles. Responsible for compliance with social regulations, load securing, and vehicle care.","Class C or CE driving licence (mandatory), driver card (mandatory), several years of driving experience preferred, high reliability and professional customer service manner, good German language skills (written and spoken), strong initiative and willingness to perform.","Company pension scheme with employer subsidy, company bike programme, corporate benefits and employee discounts, 1,000 EUR welcome bonus (implied by job title).",On-site,https://www.stepstone.de/stellenangebote--Lkw-Fahrer-im-Nahverkehr-1000-Euro-Willkommensbonus-m-w-d-Fuerstenwalde-Spree-Elis-Deutschland--14091472-inline.html,Fürstenwalde/Spree,,job-384,LOGISTICS
Plant Operator (Shift Work),Crane & Hoist Operators (8343),8343,834,83,"Crane, Hoist and Related Plant Operators",Brandenburg,MEAB Märkische Entsorgungsanlagen- Betriebsgesellschaft mbH,Recruitment Agency,2026-06-16,Full-time,,"Operates industrial plant equipment including a crane system for solid material charging and a KTC lift at a waste treatment facility, conducting routine control checks, operating various plant components, and managing residual and recyclable materials via mobile machinery along prescribed disposal routes. Also performs safety inspections and resolves minor faults.","Completed vocational training in industrial technology or maintenance engineering (career changers considered), practical experience in thermal and/or mechanical waste treatment desirable, licence to operate mobile machinery and cranes, willingness to work shifts, teamwork and commitment.","Dynamic environment focused on future-oriented topics, room for personal initiative and responsibility, flat hierarchies and short decision-making paths, high autonomy and results orientation, appropriate remuneration.",On-site,https://www.stepstone.de/stellenangebote--Anlagenbediener-in-Schicht-m-w-d-Zossen-Schoeneiche-MEAB-Maerkische-Entsorgungsanlagen-Betriebsgesellschaft-mbH--14160628-inline.html,Zossen,,job-385,LOGISTICS
Warehouse and Dispatch Worker,Freight Handlers / Warehouse Laborers (9333),9333,933,93,Freight Handlers,,M & H - Trans GmbH,Direct Employer,2026-06-16,Full-time,,"Loads palletised goods onto articulated trailers, checks goods for completeness and integrity, documents and reports damage, and secures loads; no picking duties involved. Position is part of a 5-day working week at 16.60 EUR per hour.","Experience operating pallet jacks and electric loading aids, forklift licence (Staplerschein), experience as a dispatch worker desirable but not mandatory.","Permanent contract after successful probation, 16.60 EUR/hour at 35 hours/week with paid overtime, monthly 50 EUR fuel voucher or public transport ticket, tax-free Sunday shift supplements, regular working hours from Monday to Friday.",On-site,https://www.stepstone.de/stellenangebote--Versand-Lagermitarbeiter-mwd-5-Tage-Woche-16-60-Std-Werder-Havel-M-H-Trans-GmbH--13192381-inline.html,Werder (Havel),,job-386,LOGISTICS
Regional Train Driver Manager,Locomotive & Train Drivers (8311),8311,831,83,Locomotive Engine Drivers,Brandenburg,ODEG Ostdeutsche Eisenbahn GmbH,Recruitment Agency,2026-06-15,Full-time,,"Leads and manages a regional team of train drivers (Triebfahrzeugführer) within the ODEG rail network, ensuring qualification-compliant deployment per TfV regulations and acting as the interface between driver management, drivers, and other departments. Responsibilities include personnel selection, staffing of all positions, and supporting HR processes.","Completed qualification as a train driver (Tf) with at least 3 years of professional experience, preferably some leadership experience in rail operations, knowledge of labour law and collective agreements, commercial understanding, proficient in MS Office, knowledge of Trapeze and DatNet software desirable, very good German language skills.","Permanent contract in a crisis-proof industry, attractive workplace with development and advancement opportunities, flat hierarchies and short decision-making paths, work-life balance through flexible working hours and mobile working, performance-based above-tariff remuneration.",Remote,https://www.stepstone.de/stellenangebote--regionaler-Leiter-Triebfahrzeugfuehrer-rLTf-m-w-d-Netz-Elbe-Spree-Sued-NES-Sued-Zossen-ODEG-Ostdeutsche-Eisenbahn-GmbH--14153125-inline.html,Zossen,,job-387,LOGISTICS
Professional Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,TUL agroservice GmbH Falkenhagen,Direct Employer,2026-06-14,Full-time,,"Responsible for loading and unloading trucks and containers, ensuring vehicle roadworthiness and maintenance, and serving as the primary point of contact for customers. Acts as a company representative in the field.","Class CE driving licence and CPC qualification card (Schlüsselzahl 95), friendly manner with customers and business partners, team-oriented approach with colleagues in dispatch and at transfer terminals, willingness to work additional hours during peak seasons.","1.00 EUR/hour customer satisfaction bonus, company-organised and funded CPC module training, bike leasing, holiday allowance supplement, company supplementary health insurance (worth 300 EUR net per year), option to take vehicle home.",On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-m-w-d-Falkenhagen-Mark-TUL-agroservice-GmbH-Falkenhagen--14084525-inline.html,Falkenhagen (Mark),,job-388,LOGISTICS
Professional Truck Driver Class C/CE – Local Day Routes,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Brandenburg,creaTeam Softwareentwicklung Petra Berger-Eppmann & Volker Siebert GbR Petra Berger-Eppmann und Volker Siebert,Direct Employer,2026-06-14,Full-time,,"Independently delivers fresh and high-quality food products to customers on day routes within the local area, returning home by midday. Operates modern, well-maintained trucks and maintains the highest safety and quality standards while maintaining direct customer contact.","Valid Class C/CE driving licence, ideally experience in delivery driving, willingness to start work in the early morning hours, team-oriented with enjoyment of customer and colleague interaction.","Regular working hours with day routes allowing return home by midday, modern state-of-the-art trucks, attractive working conditions, additional benefits, secure job with future prospects, team events and flat hierarchies.",On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-LKW-Fahrer-m-w-d-Klasse-C-CE-Tagestour-Nahverkehr-Eberswalde-creaTeam-Softwareentwicklung-Petra-Berger-Eppmann-Volker-Siebert-GbR-Petra-Berger-Eppmann-und-Volker-Siebert--14150992-inline.html,Eberswalde,,job-389,LOGISTICS
Commercial Vehicle and Automotive Mechatronics Technician / Fitter / Master Technician,Motor Vehicle & Fleet Mechanics (7231),7231,723,72,Motor Vehicle Mechanics and Repairers,,Markeer Fuhrbetrieb & Werkstatt GmbH,Direct Employer,2026-06-14,Full-time,,"Performs fault diagnosis and troubleshooting on commercial vehicles and cars and their systems, carries out maintenance, inspection, and repair work, replaces defective components, and manufactures or adapts vehicle parts and metal structures. Also responsible for quality control and documentation of repair and maintenance processes.","Completed technical vocational training in automotive trades (e.g. automotive master technician or mechatronics technician) or relevant professional experience, independent and structured customer-oriented working style, reliability, resilience, and teamwork ability.","Family-oriented and varied work environment with plannable workshop hours (Monday–Friday 07:00–15:45), predictable breakfast and lunch breaks, permanently free Saturdays, work clothing provided, permanent employment contract with performance-based pay, voluntary additional benefits.",On-site,https://www.stepstone.de/stellenangebote--NFZ-KFZ-Mechatroniker-Schlosser-Meister-fuer-Nauen-OT-Markee-m-w-d-Nauen-Havelland-Markeer-Fuhrbetrieb-Werkstatt-GmbH--14021024-inline.html,Nauen Havelland,,job-390,LOGISTICS
Delivery Driver for Workshop Customers,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",,kfzteile24 GmbH,Direct Employer,2026-06-14,Full-time,,"Delivers pre-picked orders in transport boxes to commercial workshop customers across the Berlin, Brandenburg, Saxony, and Saxony-Anhalt sales territories. Handles loading, cargo securing, cash transactions, and return collections independently.",Valid class B driving licence; good knowledge of Berlin city traffic; customer-oriented mindset; reliability and composure under pressure; team player.,Planned regular routes exclusively to commercial workshop customers; minute-accurate time recording with full pay; dedicated delivery parking spots; ground-floor deliveries only.,On-site,https://www.stepstone.de/stellenangebote--Auslieferungsfahrer-w-m-d-fuer-Werkstattkunden-Neuseddin-Seddiner-See-Deutschland-kfzteile24-GmbH--13900184-inline.html,Neuseddin,,job-391,LOGISTICS
Professional Truck Driver Class C/CE Short-Haul,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,HAASE Industrie-Service GmbH,Direct Employer,2026-06-14,Full-time,,"Delivers goods safely and punctually to customers in the Berlin and Brandenburg region, including independent loading and unloading of the truck. Role may also involve forklift operation on-site.",Valid class C/CE driving licence and driver card; forklift licence desirable but not mandatory; independent and reliable work style; customer-facing experience beneficial.,Full-time Monday to Friday with regular hours and home every day; punctual salary payment; family-run company with flat hierarchy and fair pay.,On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-m-w-d-Kl-C-CE-im-Nahverkehr-Strausberg-HAASE-Industrie-Service-GmbH--13767517-inline.html,Strausberg,,job-392,LOGISTICS
Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,AB GREEN GLOBAL GmbH,Direct Employer,2026-06-14,Full-time,,"Transports refrigeration units, cold-chain equipment, and warehouse or shop fittings on day-return routes, including loading, unloading, and forklift operation. Employer provides forklift training if the candidate does not yet hold a licence.",Class CE driving licence with current modules and driver card; solid German language skills; willingness to take initiative; forklift licence a plus but not required.,Permanent position with prospects; supportive and experienced team; work clothing and beverages provided; company pension and supplemental health insurance.,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-in-m-w-d-Strausberg-AB-GREEN-GLOBAL-GmbH--13769216-inline.html,Strausberg,,job-393,LOGISTICS
Forklift Operator (GLT Milk Run / Tow Train),Lifting Truck / Forklift Operators (8344),8344,834,83,Lifting Truck Operators,Brandenburg,BSH Hausgeräte Gruppe,Direct Employer,2026-06-06,Part-time,,"Carries out internal material transport at a production site using GLT milk runs and in-plant tow trains, prepares transport containers for the production area, and processes replenishment lists. Also responsible for vehicle and trailer care and maintenance.",Forklift licence (industrial truck certificate); initial experience in logistics and kanban processes; SAP and materials-list experience advantageous; good German; willingness to work shifts; reliability and team orientation.,Varied tasks; modern health benefits; individual development opportunities.,On-site,https://www.stepstone.de/stellenangebote--Staplerfahrer-GLT-Milkrun-Schlepper-m-w-d-Nauen-BSH-Hausgeraete-Gruppe--13996160-inline.html,Nauen,,job-394,LOGISTICS
Bus Driver,Bus & Coach Drivers (8331),8331,833,83,Bus and Tram Drivers,Brandenburg,Deutsche Bahn AG,Direct Employer,2026-06-04,Full-time,,"Operates scheduled and school-service bus routes safely and on time, advises passengers on timetables and fares, sells and checks tickets, and ensures vehicle readiness and cleanliness. Works across various locations throughout Germany.",Completed vocational training as a professional driver or valid class D/DE driving licence; key number '95' qualification under BKrFQG; good written and spoken German; willingness to work shifts including evenings.,Market-rate pay package; workplaces available in all federal states including smaller communities; opportunity for career development.,On-site,https://www.stepstone.de/stellenangebote--Busfahrer-in-Fuerstenwalde-Spree-Deutsche-Bahn-AG--13497604-inline.html,Fürstenwalde,,job-395,LOGISTICS
Professional Truck Driver Full-Time,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Brandenburg,TFLOG GmbH,Direct Employer,2026-06-27,Full-time,,"Delivers beverages on circular routes to customers across eastern Germany, handling forklift-assisted loading supervision as well as loading and unloading at customer sites. Responsible for vehicle care and trip documentation.","Good written and spoken German; class C/CE driving licence; key number 95 (5 modules); experience preferred, ideally in beverage logistics; knowledge of cargo securing regulations; residence near the depot required.","Permanent employment contract; family-oriented company culture; typically home every evening; modern well-equipped fleet with cab climate control, refrigerator, and overnight stay option.",On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-LKW-Fahrer-Vollzeit-Ihlow-OT-Bollensdorf-TFLOG-GmbH--14143181-inline.html,Ihlow,,job-396,LOGISTICS
Bus Driver for Transport Services,Bus & Coach Drivers (8331),8331,833,83,Bus and Tram Drivers,Brandenburg,DRK Kreisverband Brandenburg e.V.,Direct Employer,2026-06-26,Part-time,,"Transports private individuals, people with disabilities, and those with special needs in charter and school services, providing supervision, assistance, and safety during and after journeys. Coordinates with team leaders and dispatchers when schedule deviations occur.","Class D driving licence (or former class 2B); professional appearance; reliability and punctuality; good interpersonal skills, patience, and empathy.",Friendly and motivated team; family-friendly working hours; regular training and further education; free swimming facility access for staff; part-time and mini-job options; pay according to DRK collective agreement; work clothing and mobile phone provided.,On-site,https://www.stepstone.de/stellenangebote--Busfahrer-fuer-den-Fahrdienst-m-w-d-Brandenburg-an-der-Havel-DRK-Kreisverband-Brandenburg-e-V--13906440-inline.html,Brandenburg an der Havel,,job-397,LOGISTICS
Dual-Mode Excavator Operator in Overhead Line Construction,Earthmoving & Construction Plant Operators (8342),8342,834,83,Earthmoving and Related Plant Operators,,STRABAG Rail Fahrleitungen GmbH,Direct Employer,2026-06-26,Full-time,,"Operates a dual-mode (road-rail) excavator for earthmoving, lifting, and loading tasks on railway overhead-line construction sites, and supports assembly, maintenance, and dismantling work in the track zone. Responsible for site setup, safety coordination, vehicle checks, and documentation.","Completed vocational training as a construction equipment operator or equivalent; dual-mode excavator qualification advantageous; high flexibility including irregular shifts, nights, weekends, and public holidays; full psychological and physical fitness for dual-mode operation.","Permanent contract with a financially strong, future-oriented company; attractive pay under IG Metall house collective agreement; performance bonuses; travel-time compensation and above-tariff meal allowances.",On-site,https://www.stepstone.de/stellenangebote--Zweiwegebaggerfahrer-in-m-w-d-im-Fahrleitungsbau-bundesweit-STRABAG-Rail-Fahrleitungen-GmbH--14139853-inline.html,bundesweit,,job-398,LOGISTICS
Train / Locomotive Driver in Overhead Line Construction,Locomotive & Train Drivers (8311),8311,831,83,Locomotive Engine Drivers,,STRABAG Rail Fahrleitungen GmbH,Direct Employer,2026-06-26,Full-time,,"Responsible for the safe and timely execution of shunting and train runs in freight and construction-site supply/disposal service, including work-train operations and preparatory departure checks such as coupling and brake tests. Identifies operational disruptions and initiates appropriate countermeasures.",Completed vocational training as a construction equipment operator or equivalent; train driver licence class A and B2 or willingness to obtain it; wagon inspector qualification and brake-test authorisation advantageous; full psychological and physical fitness; high flexibility for irregular shifts.,"Permanent contract with a financially strong, future-oriented company; attractive pay under IG Metall house collective agreement; performance bonuses; travel-time compensation and above-tariff meal allowances.",On-site,https://www.stepstone.de/stellenangebote--Triebfahrzeugfuehrer-in-m-w-d-im-Fahrleitungsbau-bundesweit-STRABAG-Rail-Fahrleitungen-GmbH--14139847-inline.html,bundesweit,,job-399,LOGISTICS
Professional Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,HUSE & PHILIPP Wiesenburg GmbH & Co. KG,Direct Employer,2026-06-26,Full-time,,"Carries out customer delivery runs and inter-site transport, ensuring proper cargo securing and trip documentation. Operates within a small, agile logistics company.",Class CE driving licence (mandatory); valid driver card (desirable); key number 95 training modules (desirable); written and spoken German skills.,Permanent employment contract; short and fast decision-making processes; informal company culture; dedicated truck assignment; prepaid employee card; extensive qualification opportunities including further driving licences.,On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-in-Wiesenburg-HUSE-PHILIPP-Wiesenburg-GmbH-Co-KG--13883330-inline.html,Wiesenburg,,job-400,LOGISTICS
Freelance Driving Instructor / Road Safety Trainer,Other/Non-Logistics (9999),2356,235,23,Driving Instructors,,Ecclesia Versicherungsdienst GmbH,Direct Employer,2026-06-26,Full-time,,"Freelance driving safety trainer conducting on-site driver training programs at fleet operators' premises across Germany. Responsible for scheduling, delivering standardized training sessions, and regional travel to client sites using own vehicle.","Completed qualification as a driving instructor, road safety trainer, safety moderator, or motor transport master; willingness to work on a freelance/fee basis; people skills, teamwork, and flexibility including weekends; self-reliant and reliable working style.",Initial trainer onboarding by experienced Ecclesia driving trainers; varied and engaging freelance training work; positive participant feedback; regional deployment area.,On-site,https://www.stepstone.de/stellenangebote--Freiberuflicher-Fahrtrainer-Fahrsicherheitstrainer-m-w-d-bundesweit-bundesweit-Ecclesia-Versicherungsdienst-GmbH--13749085-inline.html,bundesweit,,job-401,LOGISTICS
Key Account Manager (Consumer Goods / Retail),Sales Representatives & Account Managers (3322),3322,332,33,Commercial Sales Representatives,,Newell Brands,Recruitment Agency,2026-06-25,Full-time,,"Independently manages and develops assigned customer accounts in the consumer goods retail sector (supermarkets, drugstores, discounters) for brands including DYMO and Parker. Responsible for the full sales cycle, market observation, and implementing sales and marketing concepts in close collaboration with clients.",At least 2 years of experience in customer management with a focus on consumer goods and discount retail; very good German and English skills; proficiency in MS Office; willingness to travel regularly; completed degree in business or economics or equivalent qualification.,"Company car including private use; unlimited access to LinkedIn Learning (17,000+ courses); corporate citizenship and sustainability initiatives; attractive employee discounts.",Remote,https://www.stepstone.de/stellenangebote--Key-Account-Manager-Konsumgueterhandel-LEH-Drogeriemaerkte-Discounter-DYMO-Parker-m-w-d-Home-Office-Newell-Brands--14198556-inline.html,Home-Office,,job-402,LOGISTICS
Truck Driver CE,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Brandenburg,Karsten Baier - Spedition -,Direct Employer,2026-06-25,Full-time,,"Independently conducts nationwide long-distance freight transport, including loading and unloading in compliance with cargo securing regulations. Also performs minor vehicle repairs and maintenance in coordination with the workshop, and documents driving and rest times.","Class CE driving licence and valid driver card; BKrFQG qualification modules; ideally some experience in national long-distance transport; good German language skills; reliability and responsible, independent working style.",Secure position in a family-run company; modern Scania fleet; performance-based pay plus attractive expense allowances; guaranteed home every weekend; collegial and respectful team environment.,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-in-CE-m-w-d-fuer-deutschlandweite-Transporte-Brandenburg-an-der-Havel-Karsten-Baier-Spedition--14197822-inline.html,Brandenburg an der Havel,,job-403,LOGISTICS
Forklift Operator,Lifting Truck / Forklift Operators (8344),8344,834,83,Lifting Truck Operators,,Rhenus Group,Direct Employer,2026-06-25,Full-time,,"Operates forklifts to load and unload goods, label load carriers, and manage inbound and outbound storage in an automotive logistics environment. Uses hand scanners to process orders on a daily basis.",Experience in automotive logistics preferred; willingness to obtain a forklift licence if not already held; availability for shift work.,Continuous professional development programs; strong team culture; flat hierarchies.,On-site,https://www.stepstone.de/stellenangebote--Staplerfahrer-m-w-d-bundesweit-Rhenus-Group--13495547-inline.html,bundesweit,,job-404,LOGISTICS
Bus Driver,Bus & Coach Drivers (8331),8331,833,83,Bus and Tram Drivers,Brandenburg,Verkehrsbetriebe Brandenburg an der Havel GmbH,Recruitment Agency,2026-06-25,Full-time,,"Operates buses according to duty schedules and work orders, carries out required operational vehicle checks to ensure safe service, provides passenger information, and maintains order and safety on board.",Bus driving licence with passenger transport authorisation (class D); medical fitness certificate per VDV standards.,Pay grade 5 per TV-N BRB Appendix 2; 3-month probation period; shift schedule per TV-N BRB (39-hour week on average); 104 days off per year excluding annual leave.,On-site,https://www.stepstone.de/stellenangebote--Omnibusfahrer-in-Brandenburg-an-der-Havel-Verkehrsbetriebe-Brandenburg-an-der-Havel-GmbH--13469417-inline.html,Brandenburg an der Havel,,job-405,LOGISTICS
Bus Driver,Bus & Coach Drivers (8331),8331,833,83,Bus and Tram Drivers,Brandenburg,Erdmanns Reisedienst GmbH,Direct Employer,2026-06-25,Full-time,,"Conducts excursion and scheduled line-service bus trips, sells tickets to passengers, and checks the operational safety of buses before and during service.","Valid bus driving licence (class D); knowledge of public transport operations, line services, excursion traffic, and operational safety checks.",Night shift supplement (22:00–06:00); travel expenses; Sunday and public holiday supplements; possibility of funding for bus driving licence acquisition through the Federal Employment Agency.,On-site,https://www.stepstone.de/stellenangebote--Busfahrer-in-m-w-d-Rathenow-Erdmanns-Reisedienst-GmbH--13950103-inline.html,Rathenow,,job-406,LOGISTICS
Mobile Sales Vehicle Driver,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Brandenburg,Neumarkt Fleischerei GmbH,Direct Employer,2026-06-24,Full-time,,"Drives a mobile sales vehicle along prescribed routes, sells and advises customers on products, and handles loading, unloading, presentation of goods, and cash reconciliation while adhering to hygiene regulations.",Good German language skills; class B driving licence; enjoyment of sales work; knowledge of goods delivery and dispatch; attention to detail and good presentation sense; self-reliant and responsible approach.,Loyal and appreciative customer base; varied work; employee discounts.,On-site,https://www.stepstone.de/stellenangebote--Fahrerin-m-w-d-Verkaufsmobil-Jueterbog-Neumarkt-Fleischerei-GmbH--12772413-inline.html,Jüterbog,,job-407,LOGISTICS
Truck Driver CE with Forklift Attachment,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,Peter Wieneck Spedition und Logistik,Direct Employer,2026-06-23,Full-time,,"Transports building materials by articulated lorry equipped with an onboard forklift, handling both loading and unloading at delivery sites in national near- and long-distance operations.","Class CE driving licence; forklift licence (can be obtained prior to start through the employer); relevant professional experience and forklift operating skills; commitment, reliability, and motivation.",Permanent full-time employment; operations in both regional and national long-distance transport including overnight stays.,On-site,https://www.stepstone.de/stellenangebote--Jobdetail-LKW-Fahrer-m-w-d-fuer-Sattelzug-mit-Mitnahmestapler-in-Hausen-Hausen-Deutschland-Peter-Wieneck-Spedition-und-Logistik--13493833-inline.html,Hausen,,job-408,LOGISTICS
Truck Dispatch Clerk (Late Shift),Transport & Dispatch Clerks (4323),4323,432,43,Transport Clerks,,Rhenus Group,Direct Employer,2026-06-23,Full-time,,"Processes inbound and outbound truck movements including checking and handling delivery documents, freight and export papers, coordinating loading and unloading with warehouse and dispatch teams, and recording shipment data in logistics systems during a late shift (14:00–23:00).","Completed commercial or logistics vocational training preferred; initial experience in truck dispatching, warehouse, or transport logistics; confident MS Office skills and ideally experience with logistics systems; knowledge of customs and export procedures an advantage; strong organisational ability.",Continuous professional development programs; strong team culture; flat hierarchies.,On-site,https://www.stepstone.de/stellenangebote--Mitarbeiter-LKW-Abfertigung-m-w-d-Spaetschicht-14-00-23-00-Uhr-bundesweit-Rhenus-Group--14186532-inline.html,bundesweit,,job-409,LOGISTICS
Truck Driver CE,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,H. Gautzsch Spedition GmbH & Co. KG,Direct Employer,2026-06-22,Full-time,,"Delivers goods to customers using modern HGVs, independently loading and checking cargo for quantity and quality, ensuring proper load securing, and representing the company professionally during customer contact on long-distance routes.","Valid class C/CE driving licence with code 95 entry and valid driver card; willingness for long-distance driving; good physical fitness; friendly, team-oriented manner; conscientiousness and reliability.","Secure position in a growing, future-oriented company; interesting and autonomous work scope; company pension scheme.",On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-CE-Klasse-2-m-w-d-bundesweit-H-Gautzsch-Spedition-GmbH-Co-KG--14049448-inline.html,bundesweit,,job-410,LOGISTICS
Specialist Civil Engineering Worker (Special Foundation Engineering),Civil Engineering Laborers (9312),9312,931,93,Civil Engineering Labourers,,PORR Spezialtiefbau GmbH,Direct Employer,2026-06-22,Full-time,,"Performs construction works in civil and specialist foundation engineering, including bored piles, grouted anchors, diaphragm walls, and excavation support. Operates smaller construction machines such as wheel loaders, mini excavators, and work platforms, and carries out maintenance on deployed equipment.",Interest in civil engineering work; completed training in a construction trade is advantageous but not required; ideally at least 1 year of experience as an excavator operator; career changers are specifically trained; ability to operate construction equipment; teamwork skills.,Secure and crisis-proof employment; regular health days and comprehensive insurance coverage; onboarding support provided.,On-site,https://www.stepstone.de/stellenangebote--Spezial-Tiefbaufacharbeiter-m-w-d-Quereinsteiger-willkommen-Ostdeutschland-PORR-Spezialtiefbau-GmbH--13718004-inline.html,Ostdeutschland,,job-411,LOGISTICS
Truck Driver Short-Haul,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,Schwarz Transportgesellschaft mbH,Direct Employer,2026-06-22,Full-time,,"Carries out short-haul transport drives, including loading and unloading the truck, securing cargo in accordance with regulations, and delivering and collecting goods at customer sites. Maintains vehicle documents and records driving logs.",Not specified,Not specified,On-site,https://www.stepstone.de/stellenangebote--LKW-Fahrer-m-w-d-Nahverkehr-Fuer-Schwarz-Transportgesellschaft-mbH-Rondenbarg-14-22525-Hamburg-Rondenbarg-14-22525-Hamburg-Deutschland-Schwarz-Transportgesellschaft-mbH--13454978-inline.html,Rondenbarg 14,,job-412,LOGISTICS
"Auszubildende Hotelfachmann / Hotelfachfrau (m/w/d), Bad Belzig",Out of Scope,,,,,,Paulinenhof,Direct Employer,2026-06-21,Full-time,,"• Herrichten und Checken der Gästezimmer
• Servieren von Speisen und Getränken im Restaurant und der Bierstube
• Zubereiten von leckeren Gerichten
• Vorbereiten der Tagungsräume
• Begrüßen und Betreuen unserer Gäste am Empfang
• Annehmen von Buchungen
• Planen von Tagungen und Hochzeiten und noch vieles mehr.","• Du hast die Schule nach Klasse 10 erfolgreich abgeschlossen.
• Du hast Interesse an der Hotelerie, Gastronomie und verschiedenen Veranstaltungsformaten.
• Du hast eine schnelle Auffassungsgabe und Verantwortungsbewusstsein
• Flexibilität und die Anpassung an individuelle Situationen fallen dir leicht.
• Du hast Lust etwas Neues zu lernen, bist vertrauenswürdig und zuverlässig","• Ein harmonisches Team in familiärer Atmosphäre.
• Ein übertarifliches Ausbildungsgehalt.
• Übernahme der Monatskarte zur Berufsschule/für Autofahrer eine Kilometerpauschale.
• Nach Verfügbarkeit bieten wir eine kostengünstige Mitarbeiter-WG an.
• Überstunden werden durch Zeitausgleich oder Auszahlung abgegolten
• Kostenfreie warme Speisen und Getränke
• Gemeinsame Aktivitäten & Ausflüge
• Möglichkeit zum Auslandspraktikum ab dem 2. Lehrjahr
• Wir bieten unseren Mitarbeitern weiter zahlreiche Benefits (u.a. Personights, Nutzung des Fitness- & Wellnessbereichs und vieles mehr)
• Jährlich Betriebsferien zwischen Weihnachten und Neujahr
• Eine Übernahme bei Bestehen der Abschlussprüfung mit mindestens der Note 3",On-site,https://www.stepstone.de/stellenangebote--Auszubildende-Hotelfachmann-Hotelfachfrau-m-w-d-Bad-Belzig-Paulinenhof--14116836-inline.html,Bad Belzig,,job-413,Out of Scope
Road-Rail Excavator Operator,Earthmoving & Construction Plant Operators (8342),8342,834,83,Earthmoving and Related Plant Operators,,Knape Bahnbau GmbH,Direct Employer,2026-06-21,Full-time,,"Operates road-rail (Zweiwege) excavators primarily for conventional track and switch renewals across Germany, including independent travel to deployment sites. Performs minor repairs and maintenance on the machine, including night, holiday, and weekend shifts.","Relevant vocational training and traction vehicle licence class 3; initial relevant professional experience; authorisation as wagon inspector and brake-test operator is advantageous; reliable, resilient, and performance-oriented; ability to work independently and in a team.",Tariff-based pay with additional allowances for atypical working hours; highly qualified and motivated team environment.,On-site,https://www.stepstone.de/stellenangebote--Zweiwegebaggerfahrer-m-w-d-bundesweit-Knape-Bahnbau-GmbH--13485936-inline.html,bundesweit,,job-414,LOGISTICS
Truck Driver / Transport Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,Vp GmbH,Recruitment Agency,2026-06-20,Full-time,,"Loads materials at company depots and delivers them reliably and on time to customers in sectors such as construction, wind energy, utilities, and events. Acts as on-site contact during deliveries, documents shipments digitally, and ensures compliance with cargo-securing regulations.","Valid class C/CE driving licence; ideally existing HGV driving experience; knowledge of legal cargo-securing requirements; structured, punctual, and organised working style.","Permanent contract with long-term prospects in a growing company; above-average salary, double daily allowances, overnight flat rates, and performance-based pay.",On-site,https://www.stepstone.de/stellenangebote--LKW-Fahrer-Transportfahrer-m-w-d-bundesweit-bundesweit-Vp-GmbH--13928729-inline.html,bundesweit,,job-415,LOGISTICS
