Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,Scope_Category,City,Date_Scraped,German_Level,Licensing_Recognition,Visa_Sponsorship,Relocation_Support,Qualification_Requirements,Years_Experience,Healthcare_Setting,Company_URL,Job_ID,Raw_ID
"Pflegefachkraft – Vivantes Klinikum Kaulsdorf, Berlin Kaulsdorf",CLASSIFICATION_FAILED,,,,,Berlin,Vivantes Klinikum Kaulsdorf,,2026-06-14,Part-time,,"• Alle pflegerelevanten Tätigkeiten einer motivierten Pflegefachkraft
• Empathische und bedürfnisorientierte Pflege als wichtiger Bestandteil der ganzheitlichen Betreuung
• Mitwirkung an diagnostischen und therapeutischen Abläufen
• Kollegiale Zusammenarbeit in unseren engagierten Teams, die sich gegenseitig unterstützen
• Aktive Mitgestaltung und Weiterentwicklung unserer Pflegequalität","• Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw. Gesundheits- und Krankenpfleger*in, Gesundheits- und Kinderkrankenpfleger*in, Altenpfleger*in
• Soziale Kompetenz und Freude am Umgang mit Menschen
• Bereitschaft zur Tätigkeit im 3-Schicht-Dienst
• Gesetzlich notwendiger Nachweis über Immunisierung gegen Masern","• Strukturierte Einarbeitung
• Attraktive Vergütung nach TVöD
• Betriebliche Altersversorgung (VBL)
• Möglichkeit der bezuschussten Altersvorsorge
• CNE – zeitgemäßes, digitales Fortbildungsangebot für die Pflege
• Verkehrsgünstiger Standort
• Parkmöglichkeiten für Mitarbeitende
• Betriebliche Gesundheitsprogramme
• Mitarbeitendenvorteile bei namhaften Firmen
• Kostenlose Kinderbetreuung bei kurzfristigem Bedarf
• Fahrradleasing möglich
• Prämie bei erfolgreicher Personalanwerbung",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-Vivantes-Klinikum-Kaulsdorf-Berlin-Kaulsdorf-Vivantes-Klinikum-Kaulsdorf--13912602-inline.html,HEALTHCARE,Berlin Kaulsdorf,2026-06-19,,,,,"zeit: 38,5 Wochenstunden, Teilzeit möglich Entgelt: EG P7 – EG P9 TVöD, je nach Qualifikation und Einsatzbereich Einsatzort: Vivantes Klinikum Kaulsdorf Bereich: verschieden | ung und Weiterentwicklung unserer Pflegequalität Das bringen Sie mit Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw | Aktive Mitgestaltung und Weiterentwicklung unserer Pflegequalität • Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/vivantes-klinikum-kaulsdorf-84816/jobs,job-109,108
"Pflegefachkraft (w/m/d) für Pankow/Friedrichshain, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,AWO Gemeinnützige Pflegegesellschaft mbH,,2026-06-14,Part-time,,"Die eigenverantwortliche und professionelle Versorgung unserer Pflegebedürftigen in der Behandlungspflege sowie die Planung, Durchführung und Dokumentation der Pflege in Zusammenarbeit mit Ihrem Team. Als Ansprechpartner:in gehen Sie vertrauensvoll, kompetent und verlässlich mit unseren Patientinnen und Patienten, Angehörigen, Ärztinnen und Ärzten sowie mit Ihren Kolleginnen und Kollegen um.","• Freude an der Arbeit mit hilfsbedürftigen Menschen haben.
• teamfähig, freundlich, verständnisvoll und verantwortungsbewusst sind.
• sich sicher in der deutschen Sprache verständigen können .(mind. Sprachniveau B2)
• eine Ausbildung als examinierte:r Altenpfleger:in, Gesundheits- und Krankenpfleger:in, Pflegefachfrau/-mann oder in einem vergleichbaren Beruf abgeschlossen haben.
• im Besitz des Führerscheins der Klasse B sind und mit einem (Dienst-) Schaltwagen fahren können.","• eine sorgfältige Einarbeitung durch erfahrene Mitarbeiterinnen und Mitarbeiter,
• Zusammenarbeit mit einem herzlichen Team,
• einen sicheren Arbeitsplatz mit unbefristetem Arbeitsvertrag,
• 30 Urlaubstage,
• eine Vergütung von 27,42 Euro pro Stunde,
• Zuschläge für Feiertagsarbeit,
• Leasing-Dienstrad,
• eine betriebliche Altersvorsorge,
• kostenfreie individuelle Aus-, Fort- und Weiterbildungsmöglichkeiten.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-w-m-d-fuer-Pankow-Friedrichshain-Berlin-AWO-Gemeinnuetzige-Pflegegesellschaft-mbH--14084539-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"Sprachniveau B2) eine Ausbildung als examinierte:r Altenpfleger:in, Gesundheits- und Krankenpfleger:in, Pflegefachfrau/-mann od | • eine Ausbildung als examinierte:r Altenpfleger:in, Gesundheits- und Krankenpfleger:in, Pflegefachfrau/-mann od",,Residential & Long-Term Care,,job-110,109
"Pflegefachkraft in der TIW Intensivpflege Wohngemeinschaft, Zossen bei Berlin",CLASSIFICATION_FAILED,,,,,Berlin,TIW Therapeutisch Intensives Wohnen GmbH GmbH,,2026-06-14,Part-time,,"- Tätigkeiten der Grundpflege - Tätigkeiten der Behandlungspflege wie Trachealkanülenwechsel, Sekretmanagement - Arbeit im multiprofessionellen Team mit Therapeuten, Betreuungskräften, Ärzten, Kollegen, Sozialarbeitern im KH, Krankentransport, PDL, Mitarbeitern von Providern und unseren Klienten und Angehörigen - Dokumentation im EDV Programm - Arbeiten mit modernen Pflegehilfsmitteln, wie Intensivpflegebetten, Deckenlifter usw. und die Gerätechecks","Grundkenntnisse: Behandlungspflege, Grundpflege, Beatmungspflege (invasiv, nicht-invasiv)","Wir bieten dir:einen unbefristeten Arbeitsvertrag in Vollzeit, Teilzeit oder auf Minijob-Basis in einem familiären Arbeitsumfeld eine faire und attraktive Vergütung: abhängig von der Qualifikation 4.350,- € bei einer 40 Stunden Arbeitswoche Steuerfreie Zuschläge: für Nachtstunden: 25% in der Zeit von 22:00 - 06:00 Uhr für Sonntagsstunden: 32% in der Zeit von 00:00 - 24:00 Uhr für Feiertagsstunden: 41 % in der Zeit von 00:00 - 24:00 Uhr an den gesetzlichen Feiertagen, ebenfalls zählen der Ostersonntag - Pfingstsonntag - Heiligabend und Silvester als Feiertag Monatliche Auszahlung folgender Prämien: - Gesundheitsprämie - Schichtzulagen: 50€ bei 2 Schichtsystem und 100€ bei 3 Schichtsystem - Einsprungprämie - BetriebszugehörigkeitsprämieBENEFITS:100€ Positionszulage: wie z.B.: Teamleitung, Wundschwester, Pflegeexperte außerklinische Beatmung/ Neurologie, Palliativpflegekraft, Praxisanleitung usw.Entgeltliche Leistungen:- Betriebliche Altersvorsorge - Vermögenswirksame - Leistungen - Übernahme der Kosten für die Weiterbildung Fachkraft für außerklinische Beatmung - finanzielle Unterstützung für Anpassungsweiterbildungen oder Aufstiegsweiterbildungen zum beruflichen Aufstieg - Übernahme der Kosten für externe Fortbildungen bis zu 100€/Jahr - Fortbildungszeit ist Arbeitszeit - Kitazuschuss (0 - 3 Jahre) bis zu 50€ im Monat - Auszahlung evtl. Überstunden - und weiteres nach der Probezeit Familienfreundlichkeit: - Unterstützung bei der Pflege von Angehörigen - Familienfreundlicher Arbeitgeber (Akkreditierung durch die Bertelsmann Stiftung in Kooperation mit den Arbeitnehmern) - Erziehungszeit für Väter - 7 Betriebskitaplätze ab 2027 Flexible Arbeitszeitmodelle und Arbeitszeiten: - 3 Dienstplanwünsche im Monat frei - Dauer der Dienstschichten von 6 Stunden / tgl. bis 12 Stunden / tgl. möglich - Keine Teildienste für eine optimale Work-Life-Balance betriebliches Gesundheitsmanagement: - Gesundheitsvorsorgeuntersuchungen - Nutzung von Kangenwasser (Ionisiertes-Wasser) - Nutzung des Klangbettes (außerhalb der Arbeitszeit) - Nutzung von EFT-Anwendungen (Effiziente Funktionale Therapie) - Nutzung von Rain-Drop-Technique - Nutzung der Young-Living-Öle während der Dienstzeit - Vermittlung Physiotherapeutischer Leistungen an die hausinterne Physiotherapie (Rezept nötig) allgemeine betriebliche Benefits: - Kommunikation der offenen Tür, die Geschäftsführung steht zu den Bürozeiten (08:00 -16:00 Uhr) ohne vorherige Terminabsprache für Gespräche zur Verfügung - Zuschüsse zu Teaminternen-Events - Mitarbeiter-Events (Sommerfest und Weihnachtsfeier) - Teampräsente Weiteres: Präsente: - Geburtstagsglückwünsche - Hochzeit - Geburt eines Kindes - Sonderurlaube bei Hochzeit - Geburt- und weiteres...",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-in-der-TIW-Intensivpflege-Wohngemeinschaft-Zossen-bei-Berlin-TIW-Therapeutisch-Intensives-Wohnen-GmbH-GmbH--13963802-inline.html,HEALTHCARE,Zossen bei Berlin,2026-06-19,,,,,familiären Arbeitsumfeld eine faire und attraktive Vergütung: abhängig von der Qualifikation 4,,Residential & Long-Term Care,,job-111,110
"Vertriebsspezialist Beatmung (m/w/d) für das gesamte Bundesgebiet, bundesweit",CLASSIFICATION_FAILED,,,,,Not specified,Diamed Medizintechnik GmbH,,2026-06-14,Full-time,,"• Medizintechnik und Innovation : Bringen Sie unser innovatives Produkt TrachFlush für das Sekretmanagement erfolgreich auf den deutschen Markt
• Klinikvertrieb und Kundenakquise : Knüpfen und stärken Sie nachhaltige Beziehungen zu Entscheidungsträgern in der Intensivmedizin
• Produktschulungen und Anwendertraining : Begeistern Sie intensivmedizinisches Fachpersonal mit praxisnahen Trainings, Workshops und Therapiebegleitungen
• Vertrieb und Preisverhandlungen : Überzeugen Sie mit professionellen Angeboten und souveränen Vertragsabschlüssen
• Kundenservice und Account Management : Gewinnen Sie das Vertrauen Ihrer Kunden durch persönliche Betreuung und langfristige Partnerschaften
• Kundenbindung und Repräsentation : Präsentieren Sie das Unternehmen auf Messen, Kongressen und Einführungsveranstaltungen
• Strategie und Geschäftsentwicklung : Gestalten Sie aktiv die Vertriebsstrategie in enger Zusammenarbeit mit dem Marketing, Business Development sowie der Vertriebs- bzw. Geschäftsleitung","• Erfolgreich abgeschlossene Ausbildung als Intensivpfleger (m/w/d) bzw. Studium im Bereich Medizintechnik, Gesundheitswesen, Naturwissenschaften oder vergleichbar
• Bestenfalls praktische Erfahrung mit mechanischer Beatmung auf der Intensivstation
• Vertrautheit im Umgang mit intensivmedizinischem Fachpersonal
• Sehr gute Deutsch- und solide Englischkenntnisse
• Vertriebserfahrung im Bereich Gesundheitswesen / Medizintechnik von Vorteil (kein Muss)
• Technisch-medizinisches Verständnis und überzeugende kommunikative Fähigkeiten / Kompetenz in Bezug auf die Entwicklung, Steuerung und Optimierung von Ergebnissen
• Pioniergeist und Gewinnermentalität
• Idealerweise Wohnort mit Anbindung an ein Ballungszentrum
• Hohe Reisebereitschaft innerhalb Deutschlands, auch mehrtägig mit Übernachtungen, und ausgereifte Selbstorganisation","• Fundierte Einarbeitung und ein starkes, nettes und kollegiales Team
• Attraktives Gehaltspaket und Prämiensystem
• Sonderurlaubstage, eine betriebliche Altersvorsorge nach Betriebszugehörigkeit, vermögenswirksame Leistungen und Jubiläumszuwendungen
• Neutraler Firmenwagen mit Privatnutzung
• Entwicklungsperspektiven, bei Interesse auch in anderen Geschäftsfeldern, und flache Hierarchien
• Betriebliche Gesundheitsförderung
• Mitarbeiterrabattprogramme
• Firmenfeiern und Teambuilding-Events",On-site,https://www.stepstone.de/stellenangebote--Vertriebsspezialist-Beatmung-m-w-d-fuer-das-gesamte-Bundesgebiet-bundesweit-Koeln-Berlin-Muenchen-Stuttgart-Frankfurt-Hannover-Hamburg-Essen-Diamed-Medizintechnik-GmbH--14025098-inline.html,HEALTHCARE,bundesweit,2026-06-19,,,,,Geschäftsleitung Ihr Profil: Erfolgreich abgeschlossene Ausbildung als Intensivpfleger (m/w/d) bzw | Geschäftsleitung • Erfolgreich abgeschlossene Ausbildung als Intensivpfleger (m/w/d) bzw,,Hospitals & Acute Care,https://www.stepstone.de/cmp/de/diamed-medizintechnik-gmbh-45247/jobs,job-112,111
"Pflegefachkraft als Praxisanleiter (m/w/d) 4.100-4.500 €, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,LebensRaumHeute Pflege mobil GmbH,,2026-06-14,Part-time,,- Anleitung der Azubis in der Ausbildungsstation - Individuelle Behandlungspflege unserer Klienten nach SGB V - Verantwortung für die Erstellung der Pflegeplanung und Führung der Pflegedokumentation - Abschätzung und Anpassung des Pflegebedarf - Zusammenarbeit mit Angehörigen/Betreuern und Ärzten,"Das bringst Du mit:- Abgeschlossene Ausbildung zum Gesundheitspfleger, Krankenpfleger, Altenpfleger oder Krankenschwester - Spaß an der Arbeit und Herzlichkeit im Umgang mit unseren Klienten - Zuverlässigkeit und gewissenhaftes ArbeitenErgänzende Informationen:Anforderungen an den Bewerber: Grundkenntnisse: Geriatrie, Gerontologie (Pflege, Assistenz) Erweiterte Kenntnisse: Altenpflege, Ambulante/mobile Pflege Expertenkenntnisse: Praxisanleitung (Gesundheitswesen, Pflege)","- Hohe Wertschätzung der Mitarbeiter durch die Führungskräfte - Freiräume für Ideen und eigenverantwortliches Arbeiten - Eine attraktive Bezahlung mit Festgehalt von 3.800 – 4.200 € - Vollzeit/ Teilzeit: 5-Tage-Woche Montag bis Freitag - flexible Arbeitszeitmodelle, auch ohne Schichtdienst möglich - Kostenfreie Mitarbeiterversorgung mit Obst und Getränken - Mitarbeitervorteile wie z. B.: Mastercard mit monatlichen Guthaben zum Einkauf, Zuschuss zum Kita – Platz, Tankgutschein, Übernahme des Fitnessbeitrags, kostenfreies Mittagessen, Zuschuss zur betrieblichen Altersvorsorge",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-als-Praxisanleiter-m-w-d-4-100-4-500-Berlin-LebensRaumHeute-Pflege-mobil-GmbH--14086416-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"Für unser Haus Rudow suchen wir eine examinierte Pflegefachkraft (m/w/d) als Praxisanleiter für unsere AusbildungsstationFür un | mmenarbeit mit Angehörigen/Betreuern und Ärzten Ihr Profil Das bringst Du mit:- Abgeschlossene Ausbildung zum Gesundheitspfleger, Krankenpfleger, Altenpfleger oder Krankenschwester - Sp | : Mastercard mit monatlichen Guthaben zum Einkauf, Zuschuss zum Kita – Platz, Tankgutsch",,Residential & Long-Term Care,,job-113,112
"Pflegehelfer, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,Ambulanter Pflegedienst Santé Evelina Ehrlich,,2026-06-14,Part-time,,"• Unterstützung bei der Grundpflege (wie Körperpflege, Ankleiden, Lagern und Mobilisieren) • Hilfe bei alltäglichen Aufgaben im Haushalt • Betreuung und Begleitung im Alltag • Unterstützung und Entlastung von Angehörigen • Beobachtung von Veränderungen beim Pflegebedürftigen und Weitergabe an die Pflegefachkräfte • Mitarbeit im Team zur Sicherstellung einer individuellen und würdevollen Versorgung","Das bringst Du mit • Eine Qualifikation als Pflegehelfer/in, Pflegeassistent/in oder entsprechende praktische Erfahrung in der Pflege • Freude an der Arbeit mit Menschen und Einfühlungsvermögen • Verantwortungsbewusstsein und Zuverlässigkeit • Teamfähigkeit und respektvoller Umgang • Bereitschaft zu flexiblen Arbeitszeiten (Schichtdienst, Wochenenden und Feiertage) Anforderungen an den Bewerber: Grundkenntnisse: Hauswirtschaft, Desinfektion, Pflegedokumentation, Demenzerkrankte (Betreuung, Beratung etc.), Allgemeinmedizin (Pflege, Assistenz), Menschen mit Behinderungen (Betreuung, Beratung etc.), Blutdruckmessung, Rettungsmaßnahmen, Erste Hilfe, Altenarbeit, Seniorenarbeit, Altenpflege, Ambulante/mobile Pflege, Patientenbetreuung, Geriatrie, Gerontologie (Pflege, Assistenz), Grundpflege","• Einen unbefristeten Arbeitsvertrag in Vollzeit oder Teilzeit • Faire und leistungsgerechte Bezahlung mit möglichen Zuschlägen • Strukturierte Einarbeitung – wir lassen Dich nicht allein • Fort- und Weiterbildungsmöglichkeiten, auch für beruflichen Aufstieg • Ein familiäres und unterstützendes Team • Wertschätzung, offene Kommunikation und kurze Entscheidungswege",On-site,https://www.stepstone.de/stellenangebote--Pflegehelfer-Berlin-Ambulanter-Pflegedienst-Sante-Evelina-Ehrlich--13965099-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"r individuellen und würdevollen Versorgung Ihr Profil Das bringst Du mit • Eine Qualifikation als Pflegehelfer/in, Pflegeassistent/in oder entsprechende praktische Erfahrung | ellung einer individuellen und würdevollen Versorgung Das bringst Du mit • Eine Qualifikation als Pflegehelfer/in, Pflegeassistent/in oder entsprechende praktische Erfahrung",,Residential & Long-Term Care,,job-114,113
"Suche freundliche MFA (m/w/d) für kleine Allgemeinarztpraxis in Reinickendorf, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,MedicalCura24 GmbH,,2026-06-14,Part-time,,"Die Aufgaben sind komplex in der Anmeldung, Patientenaufnahme, Patientenbetreuung, Labor, Blutabnahmen, Injektionen, Impfen, physikalische Therapie, Lungenfunktion und EKG. Wir arbeiten mit der Software Quincy.","Es wären Erfahrungen in der Allgemeinmedizin, Abrechnung, DMP wünschenswert.Grundkenntnisse: Allgemeinmedizin (Pflege, Assistenz), Spritzen intramuskulär (im), Spritzen subkutan (sc), Verbände anlegen, Arztpraxissoftware Quincy Win, Gesundheitsvorsorge (Prävention) Erweiterte Kenntnisse: Arztpraxisprogramme, -anwendungen, Medizinische Dokumentation, Abrechnung, Patientenaufnahme, -verwaltung, Desinfektion, Disease-Management-Programme (DMP), Blutentnahme, Blutdruckmessung, Impfen, Büro- und Verwaltungsarbeiten, Patientenbetreuung, Praxisorganisation, Praxisverwaltung, Gebührenordnung für Ärzte (GOÄ), Einheitlicher Bewertungsmaßstab (EBM), Medizinische Laborarbeiten",Es besteht die Möglichkeit der Weiterbildung. Es wird eine Betriebsrente angeboten.,On-site,https://www.stepstone.de/stellenangebote--Suche-freundliche-MFA-m-w-d-fuer-kleine-Allgemeinarztpraxis-in-Reinickendorf-Berlin-MedicalCura24-GmbH--13964196-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Medical & Dental Practices,,job-115,114
"Pflegefachkraft - Vivantes Klinikum Am Urban, Berlin Kreuzberg",CLASSIFICATION_FAILED,,,,,Berlin,Vivantes Klinikum Am Urban,,2026-06-14,Part-time,,"• Alle pflegerelevanten Tätigkeiten einer motivierten Pflegefachkraft
• Empathische und bedürfnisorientierte Pflege als wichtiger Bestandteil der ganzheitlichen Betreuung
• Mitwirkung an diagnostischen und therapeutischen Abläufen
• Kollegiale Zusammenarbeit in unseren engagierten Teams, die sich gegenseitig unterstützen
• Aktive Mitgestaltung und Weiterentwicklung unserer Pflegequalität","• Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw. Gesundheits- und Krankenpfleger*in, Gesundheits- und Kinderkrankenpfleger*in, Altenpfleger*in
• Soziale Kompetenz und Freude am Umgang mit Menschen
• Bereitschaft zur Tätigkeit im 3-Schicht-Dienst
• Gesetzlich notwendiger Nachweis über Immunisierung gegen Masern","• Strukturierte Einarbeitung
• Attraktive Vergütung nach TVöD
• Betriebliche Altersversorgung (VBL)
• Möglichkeit der bezuschussten Altersvorsorge
• CNE – zeitgemäßes, digitales Fortbildungsangebot für die Pflege
• Verkehrsgünstiger Standort
• Betriebliche Gesundheitsprogramme
• Mitarbeitendenvorteile bei namhaften Firmen
• Kostenlose Kinderbetreuung bei kurzfristigem Bedarf
• Fahrradleasing möglich
• Prämie bei erfolgreicher Personalanwerbung",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-Vivantes-Klinikum-Am-Urban-Berlin-Kreuzberg-Vivantes-Klinikum-Am-Urban--13912598-inline.html,HEALTHCARE,Berlin Kreuzberg,2026-06-19,,,,,"zeit: 38,5 Wochenstunden, Teilzeit möglich Entgelt: EG P7 – EG P9 TVöD, je nach Qualifikation und Einsatzbereich Einsatzort: Vivantes Klinikum Am Urban Bereich: verschiedene | ung und Weiterentwicklung unserer Pflegequalität Das bringen Sie mit Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw | Aktive Mitgestaltung und Weiterentwicklung unserer Pflegequalität • Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/vivantes-klinikum-am-urban-78651/jobs,job-116,115
"MFA (m/w/d) gesucht - moderne Orthopädie mit Herz in Berlin-Schöneberg, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,Dr. Radmer / Dr. Schulte BAG GbR Dr. med. Sebastian Radmer,,2026-06-14,Full-time,,"• Empfang und Betreuung der Patientinnen und Patienten • Vorbereitung und Organisation der Behandlungsräume • Backoffice-Tätigkeiten (Telefon, Terminvergabe, Verwaltung) • Betreuung der Akupunkturpatienten und der physikalischen Therapie Je nach Qualifikation setzen wir Sie gern auch in folgenden Bereichen ein und fördern Sie entsprechend: • Taping • Infusionstherapie • Gips- und Verbandstechniken • Blutabnahmen, Impfungen und Injektionsvorbereitungen","Eine Röntgenbefähigung ist wünschenswert, aber keine Voraussetzung – wir unterstützen Sie gern bei der entsprechenden Weiterbildung. Sie sind zuverlässig, freundlich und haben Freude am Umgang mit Menschen?Grundkenntnisse: Patientenaufnahme, -verwaltung, Patientenbetreuung, Praxisorganisation, Praxisverwaltung","• Geregelte Arbeitszeiten • Keine Wochenenddienste • Keine Überstunden • Flache Hierarchie • Freundliche Patienten • Angenehmes, modernes Ambiente",On-site,https://www.stepstone.de/stellenangebote--MFA-m-w-d-gesucht-moderne-Orthopaedie-mit-Herz-in-Berlin-Schoeneberg-Berlin-Dr-Radmer-Dr-Schulte-BAG-GbR-Dr-med-Sebastian-Radmer--14087186-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,ng) • Betreuung der Akupunkturpatienten und der physikalischen Therapie Je nach Qualifikation setzen wir Sie gern auch in folgenden Bereichen ein und fördern Sie entsprechen,,Medical & Dental Practices,,job-117,116
"Altenpfleger (m/w/d) für außerklinische BeatmungStefan Rose2020-08-19T0725:12+00:00, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,Profimed GmbH & Co. KG,,2026-06-14,Full-time,,"• Grund- und Behandlungspflege
• 24 Std. Überwachung invasiver und nichtinvasiver Beatmung
• Erkennen von Problemen bezüglich Beatmungseinheiten und Trachealkanülen
• endotracheales Absaugen zur Sicherung des pulmonalen Gasaustausches
• regelmäßiger Wechsel der Trachealkanüle entsprechend ärztlicher Anordnungen
• sorgfältiger Umgang mit der Pflegedokumentation
• Interdisziplinäre Zusammenarbeit mit Angehörigen, Ärzten, Therapeuten und dem Pflegeteam
• Mitwirkung an qualitätssichernden Maßnahmen","• examinierter Altenpfleger m/w
• Kenntnisse in der außerklinischen Intensivpflege
• selbständige Arbeitsweise
• Belastbarkeit, Engagement und Flexibilität","• überdurchschnittliche Bezahlung
• nach dem iGZ-Tarif
• übertarifliche Zulagen
• Zuschläge für Nacht-, Sonn- und Feiertagsdienste (25%, 50%, 100%)
• Urlaubs- und Weihnachtsgeld
• flexible Arbeitszeitmodelle in Abstimmung mit Ihren Anforderungen
• externe Weiterbildung
• steuerfreie Edenred Karte zum tanken, shoppen und einkaufen
• Fahrtkostenerstattung
• nach Ablauf der Probezeit ein eigener Dienstwagen möglich
• betriebliche Altersvorsorge
• betriebliche Krankenversorgung
• Zuschuss zu Kinderbetreuungskosten
• abwechslungsreiche Tätigkeit in einem sympathischen Team
• Fahrtkostenerstattung
• betriebliche Altersvorsorge
• betriebliche Krankenversorgung
• Zuschuss zu Kinderbetreuungskosten
• abwechslungsreiche Tätigkeit in einem sympathischen Team",On-site,https://www.stepstone.de/stellenangebote--Altenpfleger-m-w-d-fuer-ausserklinische-BeatmungStefan-Rose2020-08-19T0725-12-00-00-Berlin-Profimed-GmbH-Co-KG--14150699-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,uten und dem Pflegeteam Mitwirkung an qualitätssichernden Maßnahmen Ihr Profil: examinierter Altenpfleger m/w Kenntnisse in der außerklinischen Intensivpflege selbständig | • Mitwirkung an qualitätssichernden Maßnahmen • examinierter Altenpfleger m/w,,Residential & Long-Term Care,,job-118,117
"Zahnmedizinische Prophylaxe-Assistent/in (d/m/w) in Lichterfelde Ost gesucht, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,Zahnarztpraxis Sahib Hussain,,2026-06-14,Part-time,,- Allgemeine zahnärztliche Assistenz - Selbständige Arbeit am Patienten - Beratung und Betreuung der Patienten - Dokumentation der Behandlungen - Wartung und Pflege der Instrumente und Geräte - Durchführung und Überwachung von Hygienestandards,"Das bringst du mit- Eine abgeschlosseneAusbildung zur/zum Zahnmedizinischen Fachangestellten (d/m/w) und Erfahrungen in der Zahnprophylaxe - Auch bei herausfordernden Situationen verlierst du dein Lächeln nicht - Zuverlässiges und serviceorientiertes Handeln, gepaart mit einem hohenEinfühlungsvermögen - Hohes Hygienebewusstsein - Freude an der Arbeit im TeamAnforderungen an den Bewerber: Grundkenntnisse: Patientenaufnahme, -verwaltung Erweiterte Kenntnisse: Professionelle Zahnreinigung (PZR), Prophylaxebehandlung (Zahnmedizin), Desinfektion, Zahnmedizinische Behandlungsassistenz","- Freundliches familiäres Miteinander, Teamwork wird bei uns großgeschrieben - Moderne Praxis und ein junges, dynamisches Team - Eine Voll- oder Teilzeitbeschäftigung mit geregelten Arbeitszeiten von Montag bis Freitag - Überstundenregelung - Sichere Urlaubsplanung - Einen zukunftssicheren und unbefristeten Arbeitsplatz - Direkte Anbindung mit den öffentlichen Verkehrsmitteln - Kostenfrei Kaffee und Tee",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Prophylaxe-Assistent-in-d-m-w-in-Lichterfelde-Ost-gesucht-Berlin-Zahnarztpraxis-Sahib-Hussain--14087147-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Medical & Dental Practices,,job-119,118
"Pflegefachmann / Pflegefachfrau (m/w/d) gesucht - Teilzeit oder Vollzeit, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,Violina - Mit Herz für Sie unterwegs UG,,2026-06-14,Part-time,,"in einem wachsenden Unternehmen Deine Aufgaben: Behandlungspflege Medikamentengabe und medizinische Versorgung Wundversorgung Dokumentation der Pflegemaßnahmen Zusammenarbeit mit Ärzten, Angehörigen und dem Pflegeteam Eigenverantwortliches Arbeiten auf Tour Bei uns",0172 9817782 oder030 34662025 Ergänzende Informationen: Anforderungen an den Bewerber,"Stundenlohn ab 26,50 € (steigend je nach Berufserfahrung) 30 Urlaubstage bei 35 Stunden/Woche Teilzeit oder Vollzeit möglich Flexible Arbeitszeiten (Früh- oder Spätdienst möglich) Dienstbeginn bereits ab 07:00 Uhr Keine Nachtdienste Familiäres und wertschätzendes Arbeitsklima Freundliches und unterstützendes Pflegefachkräfte keine Grundpflege – der Fokus liegt auf fachgerechter Behandlungspflege und selbstständigem Arbeiten. Bei uns bist du nicht einfach nur Mitarbeiter/in – wir arbeiten als Team zusammen,",On-site,https://www.stepstone.de/stellenangebote--Pflegefachmann-Pflegefachfrau-m-w-d-gesucht-Teilzeit-oder-Vollzeit-Berlin-Violina-Mit-Herz-fuer-Sie-unterwegs-UG--14086413-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Other Healthcare Providers,,job-120,119
